# f(Hz), U_2(mV) 
3054.81, 496              
3330.12, 610              
3710.10, 928              
3959.90, 1340             
3812.12, 1070             
4051.23, 1540             
3992.65, 1400             
3900.01, 1190             
4136.22, 1780             
4289.16, 2420             
4358.12, 2720             
4477.60, 3010             
4593.10, 2880             
4650.10, 2700             
4730.10, 2460             
4865.00, 2080             
4968.50, 1810             
5089.10, 1570             
5210.04, 1380             
5409.72, 1130             
5710.12, 890              
6002.01, 730            